can_detect_pointing_hand	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
can_detect_palm_hand	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	False	False	True	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
v_ref_pointing	-23.88617706298828|29.983535766601562|	-37.732666015625|42.18597412109375|	-39.907447814941406|55.02360534667969|	-26.07880401611328|40.23643493652344|	None	-23.561172485351562|38.13804626464844|	-33.02128601074219|30.355499267578125|	-41.12358856201172|34.595130920410156|	-37.34870147705078|28.411849975585938|	-34.911094665527344|25.81017303466797|	-34.99412536621094|32.533592224121094|	-42.178558349609375|14.10009765625|	-37.925376892089844|21.092628479003906|	-38.54370880126953|19.211074829101562|	-35.76629638671875|25.923126220703125|	-40.728370666503906|19.180709838867188|	-35.97993469238281|31.149169921875|	-35.22692108154297|28.09552001953125|	-38.27757263183594|25.8399658203125|	-34.97624206542969|21.28527069091797|	-28.042953491210938|36.458839416503906|	-31.118560791015625|32.42259979248047|	-33.45552062988281|30.514678955078125|	-36.06077575683594|25.424453735351562|	-38.041473388671875|32.635498046875|	-42.036590576171875|29.412765502929688|	-34.049774169921875|23.766868591308594|	-33.77545166015625|30.299163818359375|	-34.26319885253906|28.60686492919922|	-33.30952453613281|23.221923828125|	-53.184600830078125|34.72618103027344|	-38.509521484375|36.16993713378906|	-56.852447509765625|16.7794189453125|	-57.58164978027344|24.92333984375|	-56.818939208984375|19.785903930664062|	-57.458709716796875|22.413360595703125|	-62.19804382324219|19.298583984375|	-59.5751953125|19.009384155273438|	-56.30824279785156|18.438003540039062|	-60.98185729980469|17.434188842773438|	-53.36381530761719|16.155181884765625|	-55.5589599609375|22.581771850585938|	-56.264869689941406|34.42268371582031|	-50.776702880859375|29.81170654296875|	-52.254150390625|30.419662475585938|	-50.19639587402344|31.186981201171875|	-50.02461242675781|37.399566650390625|	-48.46018981933594|37.79072570800781|	-45.143280029296875|40.01899719238281|	-43.96659851074219|34.45021057128906|	-45.28623962402344|37.234832763671875|	-47.494232177734375|38.194366455078125|	-50.70526123046875|42.63728332519531|	-53.620391845703125|41.24568176269531|	-48.26631164550781|39.055816650390625|	-47.31062316894531|38.23838806152344|	-49.28816223144531|37.556671142578125|	-48.764129638671875|38.452117919921875|	-51.2352294921875|31.216323852539062|	-53.224945068359375|29.514022827148438|	-44.57539367675781|30.346656799316406|	-45.637481689453125|35.164337158203125|	-52.68562316894531|30.888290405273438|	-50.873260498046875|28.066009521484375|	-49.818328857421875|28.654998779296875|	2.627960205078125|51.189361572265625|	-8.679718017578125|45.02299499511719|	-51.271392822265625|26.89220428466797|	-51.635009765625|23.778411865234375|	4.386199951171875|39.97941589355469|	-28.567535400390625|35.13043975830078|	-29.395584106445312|54.234580993652344|	-29.834388732910156|48.750144958496094|	-26.247177124023438|49.7537841796875|	-29.171592712402344|54.69361877441406|	-31.562705993652344|58.563812255859375|	-46.11890411376953|24.981063842773438|	-42.483642578125|34.845733642578125|	-39.28926086425781|34.1011962890625|	-36.848960876464844|44.8719482421875|	-40.90763854980469|33.52423095703125|	-36.71343231201172|40.89479064941406|	-26.028053283691406|54.02723693847656|	-20.192825317382812|53.82574462890625|	-19.056724548339844|56.10755920410156|	-22.74488067626953|49.34764099121094|	-24.66387939453125|49.930450439453125|	-22.694610595703125|53.33806610107422|	-14.367706298828125|35.694549560546875|	-22.902633666992188|46.519996643066406|	-32.08699035644531|52.400733947753906|	-12.266250610351562|41.67716979980469|	-15.2884521484375|51.03063201904297|	-15.665695190429688|48.51141357421875|	-10.8466796875|53.302154541015625|	-12.863525390625|45.80317687988281|	-22.881637573242188|58.202598571777344|	-10.252838134765625|53.39674377441406|	-10.388031005859375|51.569366455078125|	-21.320953369140625|52.609336853027344|	-6.7884368896484375|37.36164855957031|	-10.987869262695312|36.51020812988281|	-10.408248901367188|46.620819091796875|	-8.687759399414062|44.56776428222656|	-10.945358276367188|45.536659240722656|	-18.72955322265625|39.23701477050781|	-19.679718017578125|38.14884948730469|	-19.103164672851562|47.333526611328125|	-27.157546997070312|42.35577392578125|	-17.108383178710938|33.76702880859375|	-15.266998291015625|39.18440246582031|	-28.221466064453125|30.650039672851562|	-25.190139770507812|25.533004760742188|	-23.367019653320312|31.496002197265625|	-33.28070068359375|23.682846069335938|	-30.000076293945312|27.665969848632812|	-31.4443359375|23.240447998046875|	-29.45751953125|25.652969360351562|	-27.779006958007812|25.49627685546875|	-26.571212768554688|25.11834716796875|	-24.89068603515625|25.322479248046875|	-36.28199768066406|25.355606079101562|	-36.4229736328125|23.506576538085938|	-38.87626647949219|26.754196166992188|	-36.63511657714844|22.606124877929688|	-34.97657775878906|22.747222900390625|	-32.751251220703125|22.729598999023438|	-31.873855590820312|21.094650268554688|	-33.49761199951172|11.888580322265625|	-26.065994262695312|9.499496459960938|	-28.425247192382812|21.483551025390625|
v_ref_palm	8.183563232421875|48.90806579589844|	7.425567626953125|55.41175842285156|	3.242340087890625|52.38526916503906|	10.42828369140625|55.64381408691406|	8.211776733398438|54.265350341796875|	10.646774291992188|50.548683166503906|	13.205703735351562|59.605438232421875|	10.049102783203125|56.84028625488281|	2.416168212890625|53.89556884765625|	12.54937744140625|50.39494323730469|	11.700668334960938|58.44781494140625|	0.793670654296875|59.31044006347656|	15.3450927734375|59.71620178222656|	11.412277221679688|53.43898010253906|	11.043624877929688|53.04603576660156|	10.195343017578125|49.479583740234375|	11.569869995117188|51.83110046386719|	10.896728515625|51.54278564453125|	7.9078521728515625|53.35302734375|	6.370635986328125|51.732330322265625|	5.519256591796875|53.53150177001953|	6.2914276123046875|51.584564208984375|	2.99993896484375|52.98716735839844|	16.468658447265625|54.6842041015625|	7.4194183349609375|56.057159423828125|	3.4798431396484375|58.09236145019531|	6.1137542724609375|53.2166748046875|	5.001312255859375|50.46601867675781|	7.876312255859375|52.214447021484375|	6.1977386474609375|49.092041015625|	1.800079345703125|54.44408416748047|	0.951385498046875|50.541961669921875|	10.629302978515625|62.10657501220703|	9.09259033203125|56.481834411621094|	7.744537353515625|56.6998291015625|	5.9135894775390625|54.469635009765625|	4.303924560546875|61.26763153076172|	-1.616424560546875|54.78771209716797|	-7.06591796875|55.42254638671875|	-4.45648193359375|57.43963623046875|	-2.92364501953125|55.124900817871094|	2.369842529296875|58.21868133544922|	-4.181365966796875|56.09309387207031|	-1.5772705078125|62.747222900390625|	-2.01617431640625|69.69867706298828|	-7.501190185546875|66.27169036865234|	7.989166259765625|68.03497314453125|	0.578094482421875|64.58001708984375|	1.385894775390625|64.602783203125|	0.86126708984375|73.36172485351562|	-2.248260498046875|69.60304260253906|	0.68707275390625|65.8997802734375|	13.382354736328125|66.67981719970703|	12.758514404296875|68.94519805908203|	11.635345458984375|62.059783935546875|	10.190704345703125|65.64985656738281|	8.7412109375|58.58570861816406|	12.976882934570312|60.12236022949219|	11.28704833984375|51.83038330078125|	8.48736572265625|50.93711853027344|	8.071258544921875|60.10270690917969|	16.248199462890625|55.64385986328125|	5.103607177734375|55.14289855957031|	7.282196044921875|57.27333068847656|	None	-50.019500732421875|29.482421875|	-49.66099548339844|28.302947998046875|	None	4.084228515625|46.898834228515625|	-48.2822265625|19.553665161132812|	10.62786865234375|63.059349060058594|	13.004165649414062|64.71175384521484|	8.979904174804688|65.8857192993164|	7.183990478515625|66.11000061035156|	-0.264007568359375|59.997581481933594|	None	None	-2.985748291015625|57.791114807128906|	None	None	None	None	16.8656005859375|68.60678100585938|	23.0516357421875|61.59260559082031|	20.797332763671875|64.43142700195312|	5.344268798828125|64.64920043945312|	5.99755859375|59.557037353515625|	9.72393798828125|63.27565002441406|	10.022064208984375|37.338287353515625|	14.87567138671875|64.72403717041016|	20.765594482421875|63.114158630371094|	20.835952758789062|57.91960144042969|	17.978073120117188|47.56121826171875|	15.2237548828125|47.18791961669922|	22.892547607421875|64.90789794921875|	25.712646484375|59.76447296142578|	23.7279052734375|60.95966339111328|	16.1856689453125|58.60313415527344|	18.388259887695312|61.47382354736328|	5.97564697265625|58.20044708251953|	11.282638549804688|34.5020751953125|	9.482574462890625|40.45234680175781|	19.61846923828125|49.739654541015625|	21.689178466796875|48.1591796875|	25.963897705078125|48.17578125|	17.190963745117188|43.48832702636719|	None	None	13.506393432617188|44.12315368652344|	6.3516387939453125|39.63409423828125|	8.297256469726562|40.48527526855469|	None	None	12.291763305664062|41.173980712890625|	7.9617462158203125|28.018844604492188|	8.082733154296875|27.759971618652344|	12.724624633789062|28.64752197265625|	9.018280029296875|33.078643798828125|	11.728927612304688|35.817474365234375|	13.587310791015625|31.54859161376953|	9.534591674804688|37.081642150878906|	5.56005859375|43.144004821777344|	2.75469970703125|41.41150665283203|	17.544677734375|40.86981201171875|	11.567092895507812|32.286293029785156|	6.6642608642578125|39.4117431640625|	3.5091705322265625|38.082427978515625|	6.6420745849609375|37.048004150390625|	7.1767578125|38.93994140625|	13.027114868164062|37.38690185546875|	-2.47198486328125|41.5257568359375|
v_center_to_finger_pointing	73.10456161499025|-18.413706970214832|	80.89845352172853|-34.75822753906249|	81.45941619873048|-43.945697021484364|	75.01685028076173|-31.557414245605457|	None	65.86340789794923|-25.765975189208987|	80.04249267578126|-24.513545227050784|	89.97070388793946|-25.230975341796878|	86.25382690429689|-21.765029144287112|	83.95933227539064|-26.547854614257815|	82.60524444580079|-25.899058532714847|	91.32214813232423|-19.46554870605469|	95.96925811767576|-16.8040153503418|	92.07642822265623|-22.988948059082034|	89.44603424072267|-32.62496109008789|	82.80449371337892|-28.23295135498047|	81.62959747314454|-29.13866348266602|	83.52673416137696|-27.629962158203128|	90.70840148925782|-31.75912780761719|	77.77361755371095|-28.378665161132815|	72.50806121826173|-43.98183746337891|	78.3464324951172|-40.43143005371094|	83.7272689819336|-39.549739074707034|	87.5146606445312|-31.025202941894534|	98.53772430419923|-24.459239196777347|	99.86591796875001|-21.467513275146487|	90.41326599121095|-20.19240493774413|	90.72865753173829|-24.00369186401366|	90.5340545654297|-24.401076507568362|	88.7994125366211|-23.498240661621097|	68.19266967773439|-33.95255584716796|	66.18009643554689|-36.73743743896483|	41.38863067626954|-13.350417327880848|	64.5952117919922|-19.393534851074207|	39.81587677001954|-19.400363159179676|	97.60161285400392|-24.22691650390624|	66.8216522216797|-21.788920593261707|	44.12421112060548|-18.68292541503905|	64.5923812866211|-18.39439697265624|	97.0140350341797|-23.756983947753895|	61.49908905029298|-23.424349975585926|	76.31242828369142|-22.836650085449207|	87.64305953979493|-43.92656249999999|	91.74781494140623|-33.51523895263671|	96.98999481201173|-33.110865783691395|	101.15405731201167|-34.816806030273426|	92.31594543457027|-32.181830596923845|	93.37361602783204|-36.66617889404297|	90.33330230712892|-41.58919830322266|	97.99210815429689|-43.45384521484375|	101.40708618164058|-42.449275207519534|	92.12704162597657|-37.35680694580077|	95.17115478515626|-35.83698196411132|	98.96195678710939|-35.73520202636719|	98.96246795654298|-32.002845001220706|	95.7856414794922|-39.28245849609377|	93.65454559326173|-42.162928771972645|	92.84865264892579|-37.35044403076172|	98.00499420166017|-33.5453369140625|	99.63769989013673|-27.980654907226565|	98.06895904541017|-27.712031555175784|	95.7696273803711|-32.138667297363284|	100.46526794433595|-28.227599334716814|	102.30440216064454|-27.555697631835926|	100.75764923095704|-25.95415802001952|	21.228688049316418|-41.654933166503895|	-1.0609237670898324|-31.73594207763672|	98.03812866210939|-15.199820709228518|	92.0151107788086|-16.67300720214844|	-30.660594177246082|-32.671328735351565|	86.95750923156737|-23.828482818603533|	64.44924850463866|-33.56246109008789|	87.34788818359374|-32.66825408935547|	88.0133125305176|-39.08218688964844|	88.95100326538085|-41.69205780029296|	86.85171432495119|-40.70978088378905|	93.95065231323244|-40.36103363037108|	62.03694076538085|-36.892367553710926|	96.38061447143554|-36.18290252685546|	95.76426239013674|-42.409197998046864|	97.52115173339845|-38.01421661376952|	60.021327209472645|-33.26860351562499|	79.82420272827144|-51.34370727539064|	77.46976394653322|-56.219725799560564|	85.36434097290041|-50.87355728149416|	86.04056091308593|-50.15829391479491|	83.06047363281249|-53.10666198730469|	85.53475494384764|-49.83786697387697|	57.26507873535155|-30.789569091796864|	62.52540130615233|-35.130534362792986|	87.54188079833986|-36.30849761962891|	64.43088073730468|-39.87839813232422|	67.08128662109374|-33.28712005615235|	71.75492401123046|-34.83206481933594|	62.937037658691395|-64.46036453247069|	70.86003417968749|-60.05031127929687|	67.77510375976561|-65.39135665893555|	64.49006958007811|-63.91672821044922|	66.63181610107421|-63.24537963867188|	81.48766632080077|-36.17133255004883|	65.56386108398434|-33.851626586914065|	64.54486389160155|-27.917620849609364|	58.71831817626952|-51.50526733398438|	57.77411956787108|-57.10662002563477|	65.45223541259764|-51.30140991210938|	64.1981460571289|-36.77373809814452|	70.1235610961914|-28.213816833496082|	59.50478668212892|-39.855738830566395|	70.18471069335936|-34.98702545166016|	75.82852478027343|-37.44041748046875|	75.55980987548827|-41.86892242431641|	79.6622573852539|-27.9436065673828|	74.67589111328124|-31.804156494140614|	75.31789703369142|-30.036036682128895|	40.33214874267574|-24.22796936035155|	66.53692932128905|-28.354106140136707|	37.1397735595703|-25.143023681640614|	74.16484375000002|-26.694102478027332|	44.626376342773426|-27.9846221923828|	42.96317596435546|-25.64317626953124|	54.728724670410145|-27.69487304687499|	65.65478820800777|-37.751727294921864|	62.68504638671871|-32.92441864013671|	64.8045684814453|-28.708522033691395|	56.43279571533205|-27.453570556640614|	54.48371429443358|-30.738139343261707|	38.38938446044921|-30.267863464355457|	39.99298400878908|-26.993746948242176|	71.31943588256837|-12.799079132080081|	66.20774536132814|-11.570090484619143|	61.58778457641603|-24.029151153564456|
v_center_to_finger_palm	-58.14665527343749|-28.327716064453114|	-62.41057128906249|-31.6906768798828|	-60.452838134765614|-33.5919219970703|	-57.92167968749999|-34.347262573242176|	-55.6756622314453|-30.182807159423845|	-48.871295166015614|-29.25265045166016|	-34.23212738037108|-80.77756042480469|	-29.10753936767577|-86.6508285522461|	-31.46477813720702|-82.40002746582032|	-29.68052978515624|-79.83890838623047|	-32.312281799316395|-87.60269470214844|	-24.961589050292957|-85.32754058837891|	-13.625300598144548|-99.68644256591797|	-11.368083190917986|-92.10216064453125|	-5.931597900390614|-88.33919830322266|	-12.419093322753895|-85.6659652709961|	-15.643344116210926|-83.07977600097657|	-18.4813262939453|-81.63896484375|	12.95129852294923|-90.88983459472657|	16.344578552246105|-81.19227142333985|	5.871853637695324|-82.99759979248047|	4.952061462402355|-78.4288818359375|	9.996151733398449|-78.08189697265625|	1.4149826049804233|-81.10937805175782|	35.21400146484376|-71.89918823242188|	39.16968231201173|-72.01546783447266|	28.02479248046876|-66.7198516845703|	24.036724853515636|-65.47455139160155|	27.103199768066418|-66.21551055908203|	23.35577087402345|-67.65267486572266|	1.4990203857421989|-9.531298828124989|	2.9419448852539176|-5.072100830078114|	-56.93397064208983|-17.655795288085926|	-27.942721557617176|-12.07186050415038|	-54.528277587890614|-10.80611343383788|	2.8520629882812614|-9.406047058105457|	-30.6831085205078|19.600788879394543|	-51.3358184814453|23.80561523437501|	-34.689181518554676|23.782120513916027|	0.5321624755859489|19.898464965820324|	-30.89116210937499|17.259285736083996|	-14.141680908203114|18.30625228881837|	-28.593585205078114|-5.147292327880848|	-36.40570373535158|-2.3700172424316293|	-36.420245361328114|-2.534335327148426|	-35.27424926757817|-8.350844573974598|	-19.081973266601608|-42.45457763671877|	-15.53240509033202|-42.81493301391602|	-15.782382202148426|-39.27741928100586|	-15.370570373535145|-46.75343627929688|	-14.295642089843795|-46.970183563232425|	-15.220751953124989|-41.778041076660145|	-1.4039108276367074|-45.57150192260741|	0.47614746093751137|-46.18789215087891|	0.44584350585938637|-43.39503402709961|	4.705830383300793|-48.2316848754883|	0.3503616333007926|-49.875758361816395|	-0.23798675537108238|-45.59492797851563|	10.986264038085949|-44.06119079589844|	13.220593261718761|-48.94521636962891|	17.845181274414074|-46.875491333007815|	11.093624877929699|-43.50992126464844|	12.661839294433605|-39.43895263671877|	16.126080322265636|-42.99869842529296|	None	101.09615020751954|-29.967799377441395|	58.85517578125001|-15.611685943603518|	None	28.374676513671886|-33.68226165771485|	35.355259704589855|-14.663161468505862|	-69.98958282470704|-14.789515686035173|	-84.95110015869142|-19.9544059753418|	-72.47675018310548|-28.221087646484378|	-71.7156036376953|-26.51978225708008|	-70.87022094726564|-24.7655059814453|	None	None	-78.6877182006836|7.941174316406261|	None	None	None	None	-46.8279693603516|-84.7943069458008|	-57.09783630371092|-83.03837890625002|	-48.42071990966795|-80.92180938720705|	-53.487705993652355|-78.95233459472655|	-46.91065673828126|-76.99437255859375|	-49.493634033203136|-80.90900726318361|	-15.191220092773449|-21.47935791015624|	-21.9255340576172|-33.82325286865236|	-18.156452941894514|-36.5105697631836|	-40.320416259765636|-31.675585937500003|	-17.1379364013672|-28.465342712402347|	-18.880207824707043|-27.55404205322266|	-39.03081970214845|-89.33678741455077|	-32.16618804931642|-92.03403396606444|	-26.922268676757824|-97.15899200439453|	-31.599705505371105|-90.39255447387696|	-30.40093688964845|-90.23691864013672|	-2.4941833496093864|-42.028296661376956|	-2.7171676635742585|-28.811701965332034|	-4.303723144531261|-26.391802978515614|	-5.074688720703136|-79.02491302490235|	-14.732083129882824|-73.02257080078125|	-7.738171386718761|-79.31470031738282|	5.211337280273426|-31.608843994140614|	None	None	27.013941955566395|-57.895632934570315|	24.555636596679676|-63.15465087890625|	24.675929260253895|-60.39029998779297|	None	None	17.572375488281267|-24.799784851074207|	-27.42793731689457|2.4152153015136832|	-2.369259643554699|2.708981323242199|	-29.044842529296886|3.304173278808605|	2.5963394165039233|2.862015533447277|	-24.514553833007824|-0.410567474365223|	-28.4948699951172|1.4439933776855582|	-11.959210205078136|0.02976684570313637|	5.664630126953085|24.00125198364259|	4.832835388183554|23.459061431884777|	6.785441589355457|24.326554107666027|	-5.530552673339827|24.241352844238293|	-6.21851043701173|22.60635452270509|	-22.706440734863293|25.81061248779298|	-23.3909957885742|24.731461334228527|	-24.803858947753895|-55.0525619506836|	-19.599383544921864|-68.14771575927735|	-15.21563262939452|-52.852664184570315|
v_finger_pointing	34.5|13.500000000000014|	-62.0|14.0|	36.50000000000006|16.499999999999986|	5.0|14.5|	None	-8.0|12.0|	-8.0|10.000000000000014|	-34.0|15.5|	-23.5|11.5|	22.000000000000057|13.500000000000014|	-6.0|13.999999999999986|	4.5|12.5|	72.0|13.000000000000014|	-6.0|12.500000000000014|	21.0|13.499999999999986|	-7.0|11.999999999999986|	-22.5|13.5|	0.0|14.999999999999986|	-38.50000000000006|9.500000000000014|	-30.500000000000057|13.000000000000014|	-42.0|15.5|	-38.0|11.999999999999986|	-26.0|11.999999999999986|	3.0|15.000000000000014|	-44.0|15.000000000000014|	-30.0|11.5|	-22.0|12.499999999999986|	-16.0|12.0|	-6.999999999999972|10.5|	-13.5|14.0|	42.00000000000003|11.5|	-28.5|12.5|	50.5|6.5|	5.0|13.0|	45.50000000000003|11.5|	-52.5|8.5|	2.0|15.0|	3.000000000000057|13.5|	1.5|13.5|	4.0|14.0|	42.0|13.0|	-34.5|7.5|	-42.5|13.0|	44.5|12.0|	47.5|12.5|	2.0|15.0|	-41.0|7.5|	46.5|12.999999999999986|	51.0|9.500000000000014|	51.00000000000006|12.999999999999986|	-53.49999999999994|17.0|	2.5|16.0|	-58.5|12.499999999999986|	48.5|14.0|	-60.0|8.000000000000014|	6.5|14.5|	48.0|13.0|	-36.0|9.999999999999986|	-64.0|10.500000000000014|	-59.5|7.000000000000014|	-64.0|11.0|	-57.5|10.5|	-55.5|9.000000000000028|	-61.5|8.0|	-60.5|4.5|	-36.0|13.0|	-35.0|8.0|	-21.5|3.000000000000014|	-55.5|3.0|	-28.0|13.0|	-7.0|15.5|	-53.0|13.5|	-7.5|15.5|	-80.0|17.0|	-58.5|13.0|	-53.50000000000003|12.5|	-51.00000000000003|15.0|	-21.0|10.5|	-54.0|13.5|	-57.50000000000003|15.5|	-53.00000000000003|15.5|	-20.5|8.0|	-55.49999999999997|16.500000000000014|	-50.50000000000003|18.00000000000003|	2.5|14.999999999999986|	-53.5|16.5|	-56.0|23.0|	-58.0|15.500000000000014|	-64.50000000000003|11.500000000000014|	37.5|13.000000000000007|	-60.5|15.0|	8.0|15.5|	46.5|13.500000000000007|	6.5|15.0|	7.500000000000028|9.5|	50.0|13.5|	-64.5|16.0|	7.999999999999972|13.5|	47.0|13.5|	-54.5|9.0|	5.499999999999972|9.5|	-8.0|9.499999999999986|	-8.5|12.500000000000014|	37.0|11.499999999999986|	76.5|9.0|	-46.5|12.0|	-48.0|8.0|	-43.00000000000003|16.0|	-3.0|11.500000000000028|	2.0|11.500000000000014|	-52.0|14.500000000000014|	-58.0|9.0|	-48.0|11.0|	-52.50000000000003|10.5|	-15.999999999999972|4.5|	-43.5|8.5|	-15.0|4.5|	-44.00000000000003|7.0|	-17.0|5.5|	-15.000000000000028|5.5|	-27.5|8.0|	-39.99999999999997|15.0|	-37.49999999999997|9.0|	-39.99999999999997|7.0|	-29.50000000000003|8.0|	-30.49999999999997|10.5|	-12.5|9.5|	-13.000000000000057|8.5|	-5.5|7.5|	-34.99999999999994|6.5|	-22.5|7.500000000000014|
v_finger_palm	-12.5|2.0|	-50.0|9.5|	-49.99999999999997|11.0|	-48.5|8.5|	-24.5|5.000000000000014|	-42.00000000000003|5.5|	-28.0|6.5|	-17.5|4.5|	-28.0|7.0|	-30.5|9.0|	-52.0|9.0|	-30.5|3.499999999999986|	-31.99999999999997|5.0|	-49.99999999999997|11.5|	-45.5|13.0|	-46.5|12.0|	-44.0|11.5|	-41.5|11.999999999999986|	-51.0|11.5|	-54.5|9.999999999999986|	-45.5|18.0|	-49.5|19.500000000000014|	-50.5|13.500000000000014|	-52.99999999999994|13.0|	-60.0|5.999999999999986|	-15.5|3.0|	-53.0|5.0|	-50.5|6.499999999999986|	-51.0|8.000000000000014|	-51.0|6.499999999999986|	-37.5|7.5|	-41.0|10.0|	43.00000000000006|14.0|	17.0|2.5|	41.5|2.0|	5.500000000000028|12.0|	-20.5|3.0|	52.5|0.0|	-23.5|1.0|	-54.0|5.5|	29.0|4.5|	5.0|15.999999999999986|	-52.5|15.5|	-48.49999999999997|11.0|	-55.0|8.0|	-56.99999999999994|12.0|	-52.49999999999994|10.000000000000028|	-53.0|13.000000000000014|	-52.5|13.000000000000014|	-52.5|16.500000000000014|	51.00000000000006|17.0|	-50.5|15.0|	52.0|6.000000000000014|	-55.5|10.5|	47.5|11.5|	-58.5|15.500000000000014|	-52.5|17.0|	-54.5|14.000000000000014|	44.5|11.499999999999986|	44.5|14.500000000000014|	-41.5|12.0|	-40.0|11.000000000000014|	30.0|8.999999999999986|	43.5|13.500000000000014|	None	-55.0|9.5|	30.0|3.000000000000014|	None	-30.5|14.0|	38.5|3.500000000000014|	-50.499999999999986|8.000000000000014|	-40.99999999999997|9.500000000000014|	-53.999999999999986|8.5|	-56.00000000000003|11.500000000000014|	-40.0|14.499999999999986|	None	None	-38.5|17.0|	None	None	None	None	-50.5|14.500000000000014|	4.0|18.500000000000014|	-55.50000000000003|16.5|	35.5|15.0|	-40.5|11.500000000000014|	-8.0|15.5|	-37.0|9.0|	-43.50000000000003|12.500000000000028|	-61.00000000000003|11.5|	-33.0|6.5|	-42.5|11.5|	-48.0|12.5|	-43.0|27.499999999999993|	-45.49999999999997|29.999999999999993|	-46.0|30.0|	-48.5|29.0|	-49.5|28.5|	49.5|12.5|	-34.5|7.000000000000014|	-46.0|9.5|	-43.50000000000003|23.0|	-38.00000000000003|24.0|	-46.0|21.5|	44.0|11.999999999999986|	None	None	-48.0|9.5|	-47.49999999999997|13.500000000000014|	-20.5|10.0|	None	None	-23.99999999999997|12.0|	22.5|12.0|	23.0|10.0|	-41.0|13.0|	-2.5|11.499999999999986|	-6.0|10.999999999999986|	-6.0|12.5|	-9.5|10.0|	-6.5|14.0|	-12.0|12.5|	-8.0|12.0|	-10.0|14.0|	-9.999999999999943|11.5|	-14.000000000000028|13.5|	-11.0|12.5|	-38.5|8.500000000000014|	-35.0|8.000000000000014|	-31.5|19.000000000000014|
expanded_result_pointing	2/4	4/4	4/4	4/4	None	4/4	3/4	3/4	3/4	2/4	3/4	2/4	2/4	2/4	2/4	2/4	3/4	3/4	2/4	3/4	4/4	3/4	2/4	2/4	3/4	2/4	2/4	2/4	2/4	2/4	4/4	4/4	3/21	3/4	2/4	3/21	3/4	2/4	3/4	3/4	2/4	3/21	3/4	3/4	3/4	2/4	3/4	3/4	3/4	2/4	2/21	3/4	6/21	3/4	4/21	3/4	3/4	3/4	8/21	7/21	7/21	8/21	7/21	6/21	9/21	4/4	4/4	10/21	10/21	4/4	3/4	4/4	3/4	3/4	0/21	1/21	0/21	0/21	0/21	0/21	0/21	0/21	1/21	1/21	4/4	0/21	1/21	0/21	4/4	4/4	4/4	3/4	4/4	4/4	4/4	4/4	4/4	4/4	4/4	11/21	3/4	3/4	4/4	4/4	4/4	10/21	10/21	15/21	4/4	3/4	14/21	8/21	6/21	7/21	3/21	4/21	3/21	3/21	3/21	3/21	3/21	3/21	4/21	5/21	3/21	3/21	3/21	3/21	2/4	1/4	3/4
expanded_result_palm	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	4/4	21/21	21/21	4/4	21/21	21/21	21/21	21/21	21/21	4/4	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	4/4	21/21	4/4	21/21	4/4	21/21	21/21	21/21	4/4	4/4	4/4	4/4	4/4	4/4	None	8/21	12/21	None	4/4	9/21	21/21	21/21	21/21	21/21	2/4	None	None	3/4	None	None	None	None	4/4	4/4	21/21	3/4	3/4	3/4	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	21/21	4/4	21/21	21/21	21/21	21/21	21/21	4/4	None	None	21/21	20/21	4/4	None	None	4/4	3/4	3/4	3/4	4/4	4/4	4/4	4/4	4/4	4/4	4/4	4/4	4/4	4/4	4/4	21/21	21/21	21/21
